"","Código da UF","UF","Estado"
"1",11,"RO","Rondônia"
"2",12,"AC","Acre"
"3",13,"AM","Amazonas"
"4",14,"RR","Roraima"
"5",15,"PA","Pará"
"6",16,"AP","Amapá"
"7",17,"TO","Tocantins"
"8",21,"MA","Maranhão"
"9",22,"PI","Piauí"
"10",23,"CE","Ceará"
"11",24,"RN","Rio Grande do Norte"
"12",25,"PB","Paraíba"
"13",26,"PE","Pernambuco"
"14",27,"AL","Alagoas"
"15",28,"SE","Sergipe"
"16",29,"BA","Bahia"
"17",31,"MG","Minas Gerais"
"18",32,"ES","Espírito Santo"
"19",33,"RJ","Rio de Janeiro"
"20",35,"SP","São Paulo"
"21",41,"PR","Paraná"
"22",42,"SC","Santa Catarina"
"23",43,"RS","Rio Grande do Sul"
"24",50,"MS","Mato Grosso do Sul"
"25",51,"MT","Mato Grosso"
"26",52,"GO","Goiás"
"27",53,"DF","Distrito Federal"
